user_id,interface_id,post_id,emoji_chosen,comment,FaceAPI_output
3,1,post_00006,happy,lol,"['neutral', 'neutral']"
3,1,post_00010,satisfaction,ok,"['neutral', 'neutral']"
3,1,post_00002,happy,Funny,"['happy', 'happy']"
3,3,post_00015,😊,"Beautiful
","['neutral', 'happy']"
3,3,post_00019,😾,mda,"['neutral', 'disgusted']"
3,3,post_00008,😎,ok,"['neutral', 'neutral']"
3,3,post_00016,😥,OMG,"['neutral', 'angry']"
3,3,post_00004,😡,WTF,"['neutral', 'angry']"
3,3,post_00001,😌,That's how dinner in heaven looks. like,"['neutral', 'happy']"
3,2,post_00014,💖,YOu are the best!,"['neutral', 'happy']"
3,2,post_00012,😮,"Wow, that's incredible","['angry', 'neutral']"
3,2,post_00009,💖,We love you too,"['surprised', 'happy']"
3,2,post_00007,❤️,Let's make that worl better,"['neutral', 'happy']"
3,2,post_00020,😭,hope it will be over soon,"['neutral', 'sad']"
3,2,post_00022,😡,wtf,"['happy', 'neutral']"
4,2,post_00019,😡,"This doesn't make sense, Elon sold a large portion of tesla shares so there couldn't be debt.","['neutral', 'neutral']"
4,2,post_00005,😡,not funny,"['happy', 'neutral']"
4,2,post_00014,💖,BLINK forever!!,"['happy', 'happy']"
4,2,post_00020,😢,sad! ,"['neutral', 'neutral']"
4,2,post_00004,👍,We should protect histroical sites ,"['happy', 'happy']"
4,2,post_00022,😢,didn't get the context,"['neutral', 'neutral']"
4,3,post_00013,😶,you don't need to share that in twitter,"['neutral', 'neutral']"
4,3,post_00008,🙂,waiting for improvements,"['neutral', 'neutral']"
4,3,post_00012,🙄,good song!,"['neutral', 'neutral']"
4,3,post_00009,🙂,good luck in future!,"['neutral', 'neutral']"
4,3,post_00015,❤️,nice pic!,"['neutral', 'happy']"
4,3,post_00007,🤔,it will decrease. no worries,"['neutral', 'neutral']"
4,1,post_00006,happy,pretty!,"['neutral', 'happy']"
4,1,post_00023,love,so true!,"['neutral', 'neutral']"
4,1,post_00016,love,To the Moooon!,"['neutral', 'neutral']"
4,1,post_00010,love,Blackpink in your area!,"['neutral', 'happy']"
4,1,post_00002,surprise,"not a bad joke, but not enough","['neutral', 'neutral']"
4,1,post_00001,love,good view!,"['neutral', 'happy']"
5,1,post_00002,angry,Happens quite a lot,"['neutral', 'neutral']"
5,1,post_00008,happy,Elon plz hire me,"['neutral', 'neutral']"
5,1,post_00004,angry,,"['neutral', 'neutral']"
5,1,post_00013,happy,I'm amoral,"['neutral', 'neutral']"
5,1,post_00005,surprise,I would shit my pants if I see this,"['neutral', 'neutral']"
5,1,post_00020,surprise,Typical Kazakhstan household,"['neutral', 'neutral']"
5,2,post_00016,😮,,"['neutral', 'neutral']"
5,2,post_00022,😹,Fearful to experience this in the future,"['happy', 'happy']"
5,2,post_00014,💖,My queens,"['happy', 'happy']"
5,2,post_00007,👍,Ok,"['neutral', 'neutral']"
5,2,post_00001,😮,"One day, one day","['neutral', 'neutral']"
5,2,post_00015,👍,Ok,"['neutral', 'neutral']"
6,3,post_00015,👍,"Amazing
",[]
6,3,post_00012,👍,I feel nothing,[]
6,3,post_00009,😐,good luck,"['neutral', 'neutral']"
6,3,post_00010,🙃,Interesting,"['neutral', 'neutral']"
6,3,post_00019,🤗,"Wow, that's surprising","['neutral', 'happy']"
6,3,post_00008,😀,Seems cool!,"['neutral', 'happy']"
6,1,post_00006,surprise,This thing is scary,"['neutral', 'neutral']"
6,1,post_00022,happy,I love this strip!,"['neutral', 'neutral']"
6,1,post_00007,surprise,Wow,"['neutral', 'neutral']"
6,1,post_00005,satisfaction,Sweet,"['neutral', 'neutral']"
6,1,post_00016,sad,That's scary,"['neutral', 'neutral']"
6,1,post_00013,sad,I don't feel commenting,"['neutral', 'neutral']"
6,2,post_00023,😊,That's funny,"['neutral', 'happy']"
6,2,post_00004,😮,I don't feel to comment,"['neutral', 'neutral']"
6,2,post_00001,❤️,Beautiful,"['neutral', 'neutral']"
6,2,post_00014,😮,So many people.,"['neutral', 'neutral']"
6,2,post_00020,😢,That's sad. Stop the war!,"['neutral', 'neutral']"
6,2,post_00002,😂,Funny,"['happy', 'happy']"
7,1,post_00020,satisfaction,Respect,"['neutral', 'happy']"
7,1,post_00009,satisfaction,Wise words,"['happy', 'happy']"
7,1,post_00012,satisfaction,didn't listen yet :),['neutral']
7,1,post_00015,surprise,Stunning,['happy']
7,1,post_00008,satisfaction,hmm..,[]
7,1,post_00010,satisfaction,"Didn't search them myself, so no comment",[]
7,2,post_00005,😂,Lol,['happy']
7,2,post_00013,💔,heartbreaking indeed,"['neutral', 'sad']"
7,2,post_00023,😆,True...,"['happy', 'happy']"
7,2,post_00007,😮,wow,"['surprised', 'neutral']"
7,2,post_00006,😂,samee!,"['happy', 'happy']"
7,2,post_00004,😢,sad,"['happy', 'neutral']"
7,3,post_00001,🥹,view...,"['happy', 'happy']"
7,3,post_00002,😄,lol,"['happy', 'happy']"
7,3,post_00016,🫤,when your IQ isn't high enough to understand this,"['happy', 'neutral']"
7,3,post_00019,🤐,no comment,"['neutral', 'neutral']"
7,3,post_00014,👌,,"['neutral', 'neutral']"
7,3,post_00022,😓,poor him,"['happy', 'sad']"
8,2,post_00001,❤️,"beautiful, want to have such scenry too",['neutral']
8,2,post_00019,👍,okay,"['neutral', 'neutral']"
8,2,post_00015,❤️,,"['neutral', 'happy']"
8,2,post_00009,👍,great,[]
8,2,post_00013,😢,i believe she is in peace,"['neutral', 'neutral']"
8,2,post_00020,😢,what's going on with the world,"['neutral', 'neutral']"
8,3,post_00005,🙄,,"['neutral', 'neutral']"
8,3,post_00002,🧐,,"['sad', 'neutral']"
8,3,post_00006,🤧,"brr, scary","['happy', 'sad']"
8,3,post_00004,👍,good,[]
8,3,post_00012,🙂,"happy for him, but idk who it is","['happy', 'neutral']"
8,3,post_00014,🙂,"neutral, again im not fan of them","['neutral', 'neutral']"
8,1,post_00010,satisfaction,"neutral, not a fan",[]
8,1,post_00007,satisfaction,"neutral, byt earth is bautiful",[]
8,1,post_00022,happy,kinda relatable,"['neutral', 'neutral']"
8,1,post_00008,satisfaction,"dont use twitter, didnt get it",[]
8,1,post_00023,happy,relatable,"['neutral', 'neutral']"
8,1,post_00016,sad,sad,"['neutral', 'neutral']"
9,3,post_00015,😯,Wow!,"['neutral', 'neutral']"
9,3,post_00014,😐,Wow..,"['neutral', 'neutral']"
9,3,post_00009,😑,Good job destroying your legacy,"['happy', 'neutral']"
9,3,post_00013,😯,Rest in peace Clementine,"['happy', 'neutral']"
9,3,post_00010,🤔,Where is Twice?,"['neutral', 'neutral']"
9,3,post_00022,🙃,Feelsbadman,"['neutral', 'neutral']"
9,2,post_00019,😮,Elon does elon things I guess?,"['neutral', 'neutral']"
9,2,post_00016,👀,Aw man that sucks,"['neutral', 'neutral']"
9,2,post_00012,🙈,He is so cute,"['neutral', 'surprised']"
9,2,post_00004,😡,Newer one looks horrible who designed this shit,"['neutral', 'neutral']"
9,2,post_00008,😡,Half of them probably didn't even make it through the next week...,"['neutral', 'neutral']"
9,2,post_00020,😡,How long will this go on for? When will the western world step in?,"['neutral', 'neutral']"
9,1,post_00007,surprise,Thats 1 more billion than I thought!,"['neutral', 'neutral']"
9,1,post_00005,happy,@Friend1 thats you innit,"['happy', 'happy']"
9,1,post_00002,sad,I just want to enjoy my kebab man,"['happy', 'happy']"
9,1,post_00001,sad,"Forever alone,,, feelsbadman","['neutral', 'neutral']"
9,1,post_00023,angry,Why do we need to write a thesis on the first place anyway...,"['neutral', 'neutral']"
9,1,post_00006,happy,@Friend1 thats you innit,"['neutral', 'happy']"
10,2,post_00016,😮,The post language is a bit too complicated but the news seems intriguing,"['neutral', 'neutral']"
10,2,post_00006,😂,A funny post. I felt really relable,"['happy', 'happy']"
10,2,post_00013,😢,I felt a bit sad and sympathetic,"['neutral', 'neutral']"
10,2,post_00005,😂,The meme was relatable and funny,"['neutral', 'happy']"
10,2,post_00019,😮,Interesting and made me think,"['neutral', 'neutral']"
10,2,post_00022,😆,a typical situation in a student's life and funny,"['happy', 'happy']"
10,1,post_00023,happy,simple and funny,"['neutral', 'neutral']"
10,1,post_00002,happy,funny,"['happy', 'happy']"
10,1,post_00020,surprise,It surprised how the situation effected people and I didn't know about it,"['neutral', 'neutral']"
10,1,post_00012,satisfaction,i don't know,"['neutral', 'neutral']"
10,1,post_00009,satisfaction,I'm not interested in football,"['neutral', 'angry']"
10,1,post_00004,surprise,I didn't get why the post is named architectural terrorism,"['neutral', 'neutral']"
10,3,post_00007,😶,I already knew this information,"['neutral', 'neutral']"
10,3,post_00015,😊,I was surprised ,"['neutral', 'happy']"
10,3,post_00008,😶,I didn't have any reaction,"['neutral', 'neutral']"
10,3,post_00001,😇,wow,"['neutral', 'happy']"
10,3,post_00010,😄,Expected blackpink to be the first,"['happy', 'happy']"
10,3,post_00014,😀,i don't know,"['neutral', 'happy']"
11,1,post_00005,satisfaction,boring,"['neutral', 'happy']"
11,1,post_00006,happy,funny,"['happy', 'happy']"
11,1,post_00012,satisfaction,"don't care, good for them I guess","['neutral', 'happy']"
11,1,post_00007,surprise,that's a lot,"['neutral', 'neutral']"
11,1,post_00019,angry,Elon Must is a bad guy,"['neutral', 'neutral']"
11,1,post_00013,sad,sad,"['neutral', 'neutral']"
11,3,post_00009,😐,don't care,"['happy', 'neutral']"
11,3,post_00008,🤣,he left only asians,"['happy', 'happy']"
11,3,post_00014,😶,nah,"['neutral', 'neutral']"
11,3,post_00015,😀,interesting,"['sad', 'happy']"
11,3,post_00022,😁,lol,"['happy', 'happy']"
11,3,post_00010,🫥,not interested,"['neutral', 'neutral']"
11,2,post_00023,😆,funny,"['happy', 'happy']"
11,2,post_00016,👍, ,"['neutral', 'neutral']"
11,2,post_00020,😢,sadge,"['sad', 'sad']"
11,2,post_00004,❗,idk,"['neutral', 'surprised']"
11,2,post_00002,😹,funny,"['happy', 'happy']"
11,2,post_00001,👍,cool i guess,"['neutral', 'neutral']"
12,3,post_00005,😐,"Oh, you are so creative...","['neutral', 'neutral']"
12,3,post_00014,🤢,....,"['neutral', 'disgusted']"
12,3,post_00008,😐,"ok, so what?","['neutral', 'neutral']"
12,3,post_00004,😐,ok,"['neutral', 'neutral']"
12,3,post_00007,😐,wow (whatever),"['happy', 'neutral']"
12,3,post_00001,😐,ok,"['happy', 'neutral']"
12,1,post_00012,angry,so what?,"['surprised', 'neutral']"
12,1,post_00009,angry,so what ?,"['neutral', 'happy']"
12,1,post_00016,satisfaction,ok,"['angry', 'neutral']"
12,1,post_00023,angry,AHAHAHAAHAHAHAHAH (sarcasm),"['neutral', 'neutral']"
12,1,post_00019,satisfaction,ok,"['angry', 'angry']"
12,1,post_00020,satisfaction,ok,"['neutral', 'neutral']"
12,2,post_00022,😆,),"['neutral', 'happy']"
12,2,post_00015,😮,wow,"['neutral', 'neutral']"
12,2,post_00006,😡,so funny...,"['neutral', 'neutral']"
12,2,post_00010,💩,....,"['sad', 'disgusted']"
12,2,post_00013,😢,sad,"['neutral', 'neutral']"
12,2,post_00002,😡,very creative,"['neutral', 'neutral']"
13,1,post_00009,surprise,I was surprised for how novel he is to Manchester Utd,"['neutral', 'angry']"
13,1,post_00019,angry,I guess Elon Musk only seeks for his interest,"['neutral', 'neutral']"
13,1,post_00006,happy,RIP,"['neutral', 'neutral']"
13,1,post_00010,surprise,no comment,"['neutral', 'angry']"
13,1,post_00020,angry,It too bad...,"['angry', 'angry']"
13,1,post_00016,satisfaction,Interesting story,"['neutral', 'neutral']"
13,2,post_00001,😮,I hope to be there,"['neutral', 'neutral']"
13,2,post_00007,👍,WOW,['neutral']
13,2,post_00013,😤,I feel so sad...,['angry']
13,2,post_00005,😂,I hope one day I have those kind of kids,"['neutral', 'happy']"
13,2,post_00015,😆,WOW,"['neutral', 'neutral']"
13,2,post_00023,😢,grad school,"['neutral', 'neutral']"
13,3,post_00014,😑,no comment,"['neutral', 'neutral']"
13,3,post_00012,😑,I'm not that interesting at KPOP,"['happy', 'neutral']"
13,3,post_00002,😆,RIP,"['angry', 'happy']"
13,3,post_00004,😑,Not good at all,"['neutral', 'neutral']"
13,3,post_00008,🤬,No comment,"['neutral', 'angry']"
13,3,post_00022,😑,I totally agree...,"['neutral', 'neutral']"
14,2,post_00013,😥,I'm really sorry for your loss. She was such a cute child.,"['neutral', 'sad']"
14,2,post_00002,😆,Would be me if had a job :),"['happy', 'neutral']"
14,2,post_00022,😂,Glad I don't have to deal with this,"['neutral', 'happy']"
14,2,post_00009,😱,Whyyyy???,"['neutral', 'surprised']"
14,2,post_00016,👀,Hope everyone is going to be safe,"['neutral', 'surprised']"
14,2,post_00014,😭,We miss you too,"['neutral', 'sad']"
14,3,post_00020,😧,"wow, such courage","['neutral', 'neutral']"
14,3,post_00004,🤦,Architecture is dead,"['neutral', 'surprised']"
14,3,post_00023,😑,misleading title,"['neutral', 'neutral']"
14,3,post_00008,😒,didn't get the joke,"['neutral', 'neutral']"
14,3,post_00007,😄,Finally reached 8 billion!!!,"['neutral', 'happy']"
14,3,post_00010,😡,Why BlackPink is only the 4th place ,"['happy', 'angry']"
14,1,post_00019,satisfaction,Makes sense,"['neutral', 'neutral']"
14,1,post_00012,love,My boys!,"['neutral', 'neutral']"
14,1,post_00005,love,Great to have friends like that),"['happy', 'neutral']"
14,1,post_00006,satisfaction,,[]
14,1,post_00001,sad,probably very expensive,"['sad', 'sad']"
14,1,post_00015,surprise,Just Beautiful,"['neutral', 'neutral']"
15,1,post_00004,surprise,unexpected outcome,"['neutral', 'neutral']"
15,1,post_00016,sad,sad,"['neutral', 'neutral']"
15,1,post_00019,surprise,omg,"['neutral', 'neutral']"
15,1,post_00002,happy,ahaha relatable,"['neutral', 'neutral']"
15,1,post_00001,love,"wow, romantic","['neutral', 'neutral']"
15,1,post_00009,sad,hmm sad,"['neutral', 'neutral']"
15,3,post_00005,😮,woah,"['neutral', 'neutral']"
15,3,post_00006,😳,scary...,"['neutral', 'surprised']"
15,3,post_00008,😮,omg,"['neutral', 'neutral']"
15,3,post_00015,😃,cool,"['happy', 'happy']"
15,3,post_00014,😆,cute,"['surprised', 'happy']"
15,3,post_00022,🙃,hmmm...,"['neutral', 'neutral']"
15,2,post_00020,😢,sad,"['neutral', 'neutral']"
15,2,post_00023,😆,ahah,"['neutral', 'neutral']"
15,2,post_00013,😢,very sad,"['neutral', 'neutral']"
15,2,post_00012,👍,great,"['neutral', 'neutral']"
15,2,post_00007,😮,oh wow,"['neutral', 'neutral']"
15,2,post_00010,🎉,great,"['neutral', 'happy']"
16,1,post_00001,love,Good vibes ,"['neutral', 'happy']"
16,1,post_00009,satisfaction,,[]
16,1,post_00009,satisfaction,Don'treally watch football,['neutral']
16,1,post_00006,happy,Good meme ,['happy']
16,1,post_00007,surprise,Maybe a little worrying though,"['happy', 'happy']"
16,1,post_00010,surprise,I have only heard about #3 and #4,"['neutral', 'neutral']"
16,1,post_00012,satisfaction,Fun to see Korea on trending,"['neutral', 'neutral']"
16,2,post_00023,😆,Relatable,"['happy', 'neutral']"
16,2,post_00005,😊,Again relatable,"['happy', 'happy']"
16,2,post_00016,😢,Having a storm is usually not good,"['neutral', 'neutral']"
16,2,post_00008,😂,I am wondering if the image is staged for publicity,"['happy', 'happy']"
16,2,post_00022,😆,Just give him advice (maybe the prof didn't actually read tho),"['happy', 'happy']"
16,2,post_00014,🎉,Cool shots,"['happy', 'happy']"
16,3,post_00015,👍,pretty neat,"['neutral', 'neutral']"
16,3,post_00002,😀,hehe relatable meme,"['neutral', 'happy']"
16,3,post_00013,😔,,"['sad', 'sad']"
16,3,post_00020,😐,,"['neutral', 'neutral']"
16,3,post_00004,🙂,i think I prefer the first image,"['neutral', 'neutral']"
16,3,post_00019,😠,Shouldn't have bought twitter lol,"['angry', 'angry']"
